Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;;;;;;;;
1;AIN;1;1ère circonscription;86613;34540;39,88;52073;60,12;744;0,86;1,43;51329;59,26;98,57;F;DUTHU;Monique;VEC;1411;1,63;2,75;F;CATHERIN;Marie-Lucienne;FN;2086;2,41;4,06;M;DEBAT;Jean-François;SOC;16415;18,95;31,98;F;HURET;Odile;DIV;448;0,52;0,87;F;GUENARD-GERBAUD;Carole;EXG;1162;1,34;2,26;M;FLECHON;Jacques;MPF;1078;1,24;2,10;M;FAVRE;Bernard;ECO;530;0,61;1,03;M;LAHY;Eric;EXG;300;0,35;0,58;M;BRETON;Xavier;UMP;24250;28,00;47,24;M;PARIOT;Marc;UDFD;2860;3,30;5,57;M;AVINIERE;Pierre;COM;789;0,91;1,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;2;2ème circonscription;92466;41005;44,35;51461;55,65;737;0,80;1,43;50724;54,86;98,57;F;PIDOUX;Catherine;RDG;9217;9,97;18,17;M;DE LA VERPILLIERE;Charles;UMP;27034;29,24;53,30;F;DE LACHEISSERIE;Nicole;FN;3333;3,60;6,57;M;CHAVET;Raoul;EXG;306;0,33;0,60;M;CAGNAC;Jacques;VEC;1790;1,94;3,53;M;LEGER;Bernard;MPF;778;0,84;1,53;M;LARGERON;Guy;EXG;380;0,41;0,75;F;PHILIPPE;Katia;COM;1800;1,95;3,55;F;MEUNIER;Marie-Lise;ECO;629;0,68;1,24;M;SEGURET;Jean-Louis;EXD;380;0,41;0,75;M;DAGAND;Yves;EXG;1375;1,49;2,71;M;FRAY;Michel;CPNT;485;0,52;0,96;M;FERRARESE;Pierre;UDFD;3217;3,48;6,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;3;3ème circonscription;86696;38444;44,34;48252;55,66;803;0,93;1,66;47449;54,73;98,34;F;FAURE;Fabienne;UDFD;5198;6,00;10,95;M;VIRARD;Philippe;COM;2366;2,73;4,99;M;WYSSA;Olivier;FN;2229;2,57;4,70;M;BLANC;Etienne;UMP;23722;27,36;49,99;F;RIGAUD;Françoise;SOC;9018;10,40;19,01;F;GOUTAILLER;Dolorès;EXG;308;0,36;0,65;M;JUSTON;Maurice;MPF;555;0,64;1,17;F;FAVRE;Maryse;ECO;792;0,91;1,67;M;BAILLY;Luc;EXG;1138;1,31;2,40;F;FRANQUET;Christine;VEC;1640;1,89;3,46;F;ALBERT;Emilie;CPNT;481;0,55;1,01;M;MARMORAT;Jacques;DIV;2;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;4;4ème circonscription;109734;45215;41,20;64519;58,80;957;0,87;1,48;63562;57,92;98,52;M;LE MAOUT;Hervé;MPF;1081;0,99;1,70;M;VOISIN;Michel;UMP;33777;30,78;53,14;M;MONTESSUIT;Claude;VEC;2409;2,20;3,79;M;DE LACHEISSERIE;Jean-Loup;FN;3541;3,23;5,57;M;GREFFET;Christophe;SOC;12395;11,30;19,50;F;BURGAT;Jacqueline;COM;1270;1,16;2,00;F;DRACOS;Electre;EXG;608;0,55;0,96;F;MICHAUD;Christel;ECO;737;0,67;1,16;M;CORMORECHE;Pierre;UDFD;4895;4,46;7,70;F;MANDRAS;Marie-Françoise;CPNT;716;0,65;1,13;F;VACLE;Catherine;EXG;2133;1,94;3,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;1;1ère circonscription;72349;27960;38,65;44389;61,35;830;1,15;1,87;43559;60,21;98,13;M;KARIMET;Fawaz;SOC;8786;12,14;20,17;M;ROUX;Jean-Louis;FN;2476;3,42;5,68;F;BRUNET;Claudine;COM;918;1,27;2,11;M;DELHAYE;Eric;UDFD;1961;2,71;4,50;M;DOSIERE;René;DVG;10916;15,09;25,06;M;PERNELLE;Jean-Loup;EXG;600;0,83;1,38;F;LEGRAS;Sylvie;MPF;649;0,90;1,49;F;BLANCHARD-DOUCHAIN;Gaëdic;UMP;12902;17,83;29,62;F;LAFFIAC;Marie-Claude;EXG;875;1,21;2,01;M;TREVILLOT;Nicolas;DVD;1185;1,64;2,72;F;BIBAUT;Louisette;CPNT;264;0,36;0,61;M;MATIS;Pascal;DIV;83;0,11;0,19;F;ARRIBAS;Catherine;VEC;814;1,13;1,87;M;HANSEN-CATTA;Paul Henry;DIV;1130;1,56;2,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;2;2ème circonscription;74698;28793;38,55;45905;61,45;847;1,13;1,85;45058;60,32;98,15;M;BERTRAND;Xavier;UMP;24007;32,14;53,28;M;TOURNAY;Jean-Luc;COM;2191;2,93;4,86;F;DALL'ARA;Michèle;FN;2382;3,19;5,29;F;DESJOYAUX;Carmel;MPF;261;0,35;0,58;F;AURIGNY;Nicole;EXG;347;0,46;0,77;M;GRZEZICZAK;Freddy;DVG;1195;1,60;2,65;M;MOUSSET;Franck;EXG;847;1,13;1,88;F;ZANDITENAS;Anne;EXG;461;0,62;1,02;F;GRZEGRZULKA;Odette;SOC;10278;13,76;22,81;F;GUILLET;Marie-José;EXD;276;0,37;0,61;M;WARGNIER;Daniel;ECO;336;0,45;0,75;M;BETEMS;Alain;CPNT;525;0,70;1,17;F;AHMED-ALI;Nora;VEC;470;0,63;1,04;M;SENE;Bertrand;DIV;184;0,25;0,41;M;BAHADDOU;Ahmed;UDFD;1298;1,74;2,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;3;3ème circonscription;72227;27487;38,06;44740;61,94;898;1,24;2,01;43842;60,70;97,99;M;BALLIGAND;Jean-Pierre;SOC;18046;24,99;41,16;F;FAUVERGUE;Nathalie;FN;3278;4,54;7,48;M;MEURA;Frédéric;UMP;15889;22,00;36,24;M;LEGRIS;Edwin;UDFD;1499;2,08;3,42;F;BALLOT;Véronique;MPF;432;0,60;0,99;M;SEVERAC;Dimitri;EXG;947;1,31;2,16;M;PAILLER;Marc;EXG;467;0,65;1,07;F;REMY;Raymonde;EXD;234;0,32;0,53;F;DEVAUX;Ginette;COM;1573;2,18;3,59;F;FLAMENGT;Andrée;CPNT;507;0,70;1,16;F;MAILLET;Isabelle;ECO;216;0,30;0,49;F;CHOAIN;Monique;DIV;138;0,19;0,31;F;DELATTRE;Valérie;VEC;616;0,85;1,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;4;4ème circonscription;79255;33426;42,18;45829;57,82;740;0,93;1,61;45089;56,89;98,39;F;THUIN-MACHEREZ;Brigitte;UMP;14481;18,27;32,12;M;DE SAINT JUST;Wallerand;FN;3726;4,70;8,26;F;LETRILLART;Isabelle;MPF;2303;2,91;5,11;F;VOISIN;Laetitia;EXG;657;0,83;1,46;M;ENGUEHARD;Philippe;DIV;380;0,48;0,84;M;DESALLANGRE;Jacques;DVG;11802;14,89;26,17;M;NATANSON;Dominique;EXG;1009;1,27;2,24;M;LIENAUX;Henri;CPNT;569;0,72;1,26;F;LE FLECHER;Claire;SOC;7322;9,24;16,24;M;SABLE;Yannick;UDFD;1949;2,46;4,32;M;BESBAS;Houssens;DIV;22;0,03;0,05;M;BOCQUET;VINCENT;VEC;869;1,10;1,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AISNE;5;5ème circonscription;80005;31421;39,27;48584;60,73;780;0,97;1,61;47804;59,75;98,39;F;GERET;Sylvie;EXG;780;0,97;1,63;M;BRIFFAUT;Franck;FN;4023;5,03;8,42;M;JOURDAIN;Dominique;SOC;9920;12,40;20,75;M;PAPRITZ;Olivier;MPF;625;0,78;1,31;M;ALLIOUX;Jean-Luc;COM;1047;1,31;2,19;F;FOURQUET;Brigitte;EXG;949;1,19;1,99;F;ALLEGRAUD;Aude;DIV;30;0,04;0,06;M;REY;Marc-Hervé;ECO;427;0,53;0,89;M;BELLIERE;Renaud;UDFD;2156;2,69;4,51;F;DERYCKERE;Annick;CPNT;502;0,63;1,05;M;KRABAL;Jacques;DVG;8446;10,56;17,67;F;VASSEUR;Isabelle;UMP;18088;22,61;37,84;F;CHAMBAUD;Marie-Thérèse;VEC;811;1,01;1,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;ALLIER;1;1ère circonscription;58298;21450;36,79;36848;63,21;811;1,39;2,20;36037;61,82;97,80;M;PERISSOL;Pierre-André;UMP;14563;24,98;40,41;F;MAYRARGUE;Delphine;SOC;3122;5,36;8,66;M;GUILLAUMIN;Jean-Marie;ECO;293;0,50;0,81;M;CABANNE;Jacques;COM;2384;4,09;6,62;M;CHAMBEFORT;Guy;DVG;10975;18,83;30,45;M;DEVILLE;Serge;EXD;117;0,20;0,32;F;GENOT;Judith;DIV;131;0,22;0,36;F;DEMURE;Danielle;UDFD;1996;3,42;5,54;M;AUVRAY;Hugues;DIV;163;0,28;0,45;F;MIALLET;Michelle;MPF;202;0,35;0,56;M;DARMANGEAT;Christophe;EXG;267;0,46;0,74;F;CORGIE;Suzanne;DIV;3;0,01;0,01;M;MATICHARD;Gérard;VEC;481;0,83;1,33;F;DE CONDE;Carla;FN;876;1,50;2,43;F;BEAUNIEUX;Michèle;EXG;464;0,80;1,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
